"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Eastern & Southern Africa","MDG","Madagascar","ROTAC","78.0","77.0","78.0","69.0","50.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MWI","Malawi","ROTAC","90.0","85.0","81.0","84.0","83.0","81.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MYS","Malaysia","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","MDV","Maldives","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","MLI","Mali","ROTAC","55.0","51.0","47.0","35.0","23.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","MLT","Malta","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MHL","Marshall Islands","ROTAC","42.0","46.0","38.0","41.0","44.0","52.0","60.0","43.0","25.0","71.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","MRT","Mauritania","ROTAC","76.0","76.0","73.0","56.0","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MUS","Mauritius","ROTAC","95.0","90.0","92.0","66.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","MEX","Mexico","ROTAC","77.0","70.0","72.0","81.0","85.0","81.0","99.0","98.0","90.0","93.0","47.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","FSM","Micronesia (Federated States of)","ROTAC","52.0","35.0","35.0","46.0","40.0","33.0","45.0","40.0","70.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","MCO","Monaco","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MNG","Mongolia","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","MNE","Montenegro","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","MAR","Morocco","ROTAC","99.0","99.0","99.0","90.0","90.0","90.0","88.0","80.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MOZ","Mozambique","ROTAC","80.0","80.0","70.0","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MMR","Myanmar","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","NAM","Namibia","ROTAC","92.0","86.0","86.0","87.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NRU","Nauru","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","NPL","Nepal","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","NLD","Netherlands","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NZL","New Zealand","ROTAC","86.0","89.0","66.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","NIC","Nicaragua","ROTAC","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","94.0","89.0","66.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","NER","Niger","ROTAC","79.0","85.0","80.0","47.0","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","NGA","Nigeria","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NIU","Niue","ROTAC","99.0","99.0","74.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","NOR","Norway","ROTAC","93.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","OMN","Oman","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","PAK","Pakistan","ROTAC","58.0","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PLW","Palau","ROTAC","93.0","95.0","98.0","97.0","99.0","99.0","89.0","89.0","76.0","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PAN","Panama","ROTAC","95.0","94.0","92.0","87.0","87.0","87.0","92.0","95.0","89.0","78.0","74.0","66.0","82.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PNG","Papua New Guinea","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PRY","Paraguay","ROTAC","91.0","93.0","91.0","91.0","90.0","86.0","87.0","85.0","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PER","Peru","ROTAC","85.0","85.0","87.0","87.0","86.0","86.0","91.0","84.0","75.0","41.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PHL","Philippines","ROTAC","","","","2.0","1.0","28.0","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","POL","Poland","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","PRT","Portugal","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","QAT","Qatar","ROTAC","95.0","93.0","99.0","92.0","90.0","97.0","90.0","93.0","55.0","59.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KOR","Republic of Korea","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","MDA","Republic of Moldova","ROTAC","75.0","65.0","70.0","62.0","69.0","65.0","21.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","MKD","Republic of North Macedonia","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ROU","Romania","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","RUS","Russian Federation","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","RWA","Rwanda","ROTAC","98.0","98.0","98.0","98.0","98.0","98.0","50.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","KNA","Saint Kitts and Nevis","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","LCA","Saint Lucia","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","VCT","Saint Vincent and the Grenadines","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
