"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"West & Central Africa","GHA","Ghana","HIB3","97.0","99.0","93.0","88.0","98.0","90.0","92.0","91.0","94.0","94.0","93.0","94.0","84.0","84.0","80.0","80.0","80.0","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","GRC","Greece","HIB3","99.0","99.0","99.0","99.0","99.0","94.0","94.0","83.0","83.0","83.0","83.0","83.0","84.0","84.0","85.0","86.0","86.0","87.0","87.0","88.0","71.0","54.0","36.0","19.0","2.0","","","","","","","","","","","","","",""
"Latin America & Caribbean","GRD","Grenada","HIB3","96.0","96.0","96.0","92.0","97.0","97.0","97.0","95.0","97.0","99.0","99.0","96.0","91.0","99.0","83.0","97.0","98.0","96.0","33.0","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GTM","Guatemala","HIB3","86.0","82.0","80.0","74.0","73.0","85.0","96.0","85.0","94.0","92.0","95.0","85.0","89.0","87.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GIN","Guinea","HIB3","45.0","45.0","45.0","45.0","44.0","50.0","57.0","63.0","64.0","57.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNB","Guinea-Bissau","HIB3","88.0","88.0","88.0","88.0","88.0","87.0","87.0","89.0","86.0","80.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GUY","Guyana","HIB3","95.0","97.0","97.0","95.0","98.0","98.0","97.0","93.0","95.0","98.0","93.0","94.0","93.0","93.0","91.0","90.0","91.0","85.0","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","HTI","Haiti","HIB3","64.0","64.0","64.0","64.0","63.0","68.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","HND","Honduras","HIB3","90.0","89.0","94.0","98.0","98.0","98.0","98.0","97.0","97.0","97.0","92.0","93.0","94.0","97.0","93.0","91.0","94.0","95.0","93.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","HUN","Hungary","HIB3","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","",""
"Western Europe","ISL","Iceland","HIB3","91.0","89.0","91.0","92.0","90.0","91.0","89.0","95.0","96.0","96.0","98.0","97.0","97.0","95.0","99.0","97.0","95.0","92.0","98.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","",""
"South Asia","IND","India","HIB3","89.0","89.0","80.0","45.0","20.0","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","IDN","Indonesia","HIB3","79.0","79.0","79.0","78.0","30.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","IRN","Iran (Islamic Republic of)","HIB3","99.0","99.0","99.0","98.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","IRQ","Iraq","HIB3","84.0","85.0","73.0","68.0","69.0","68.0","36.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","IRL","Ireland","HIB3","94.0","95.0","95.0","95.0","96.0","95.0","95.0","95.0","94.0","93.0","93.0","92.0","91.0","90.0","89.0","86.0","83.0","84.0","85.0","86.0","84.0","76.0","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","ISR","Israel","HIB3","98.0","98.0","94.0","95.0","95.0","96.0","94.0","94.0","95.0","96.0","94.0","95.0","94.0","93.0","95.0","93.0","91.0","94.0","93.0","93.0","94.0","92.0","92.0","93.0","92.0","","","","","","","","","","","","","",""
"Western Europe","ITA","Italy","HIB3","94.0","94.0","93.0","93.0","94.0","95.0","96.0","96.0","95.0","96.0","96.0","96.0","96.0","95.0","94.0","90.0","83.0","70.0","55.0","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","JAM","Jamaica","HIB3","98.0","93.0","99.0","91.0","92.0","93.0","96.0","91.0","94.0","90.0","91.0","91.0","97.0","99.0","98.0","35.0","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","JPN","Japan","HIB3","99.0","99.0","99.0","96.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","JOR","Jordan","HIB3","96.0","99.0","98.0","99.0","98.0","98.0","98.0","98.0","98.0","98.0","97.0","98.0","98.0","95.0","95.0","97.0","95.0","59.0","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","KAZ","Kazakhstan","HIB3","98.0","99.0","82.0","98.0","95.0","98.0","97.0","95.0","96.0","97.0","49.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","KEN","Kenya","HIB3","92.0","82.0","90.0","89.0","92.0","93.0","94.0","96.0","90.0","88.0","88.0","81.0","80.0","76.0","73.0","73.0","84.0","","","","","","","","","","","","","","","","","","","","","",""
