"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"South Asia","IND","India","PCV3","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","IDN","Indonesia","PCV3","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","IRN","Iran (Islamic Republic of)","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","IRQ","Iraq","PCV3","32.0","33.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","IRL","Ireland","PCV3","90.0","91.0","91.0","92.0","92.0","91.0","91.0","90.0","43.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","ISR","Israel","PCV3","94.0","94.0","93.0","94.0","94.0","94.0","93.0","92.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","ITA","Italy","PCV3","92.0","91.0","88.0","89.0","87.0","87.0","82.0","76.0","71.0","66.0","60.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","JAM","Jamaica","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","JPN","Japan","PCV3","98.0","99.0","99.0","96.0","98.0","98.0","98.0","98.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","JOR","Jordan","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","KAZ","Kazakhstan","PCV3","95.0","98.0","97.0","74.0","58.0","52.0","37.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","KEN","Kenya","PCV3","81.0","71.0","78.0","75.0","81.0","75.0","82.0","85.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KIR","Kiribati","PCV3","94.0","91.0","79.0","74.0","57.0","40.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","KWT","Kuwait","PCV3","99.0","99.0","99.0","99.0","94.0","99.0","99.0","99.0","98.0","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","KGZ","Kyrgyzstan","PCV3","92.0","88.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","LAO","Lao People's Democratic Republic","PCV3","56.0","56.0","51.0","50.0","45.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LVA","Latvia","PCV3","82.0","85.0","82.0","82.0","81.0","83.0","55.0","76.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
