"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Eastern & Southern Africa","RWA","Rwanda","IPV1","81.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","KNA","Saint Kitts and Nevis","IPV1","99.0","90.0","93.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","LCA","Saint Lucia","IPV1","99.0","89.0","95.0","21.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","VCT","Saint Vincent and the Grenadines","IPV1","96.0","96.0","99.0","54.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","WSM","Samoa","IPV1","46.0","81.0","94.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","STP","Sao Tome and Principe","IPV1","97.0","46.0","67.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","SAU","Saudi Arabia","IPV1","96.0","99.0","98.0","98.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","SEN","Senegal","IPV1","72.0","","72.0","81.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","SRB","Serbia","IPV1","98.0","98.0","97.0","98.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SYC","Seychelles","IPV1","99.0","99.0","99.0","35.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","SLE","Sierra Leone","IPV1","60.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","SGP","Singapore","IPV1","98.0","97.0","98.0","98.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","SLB","Solomon Islands","IPV1","88.0","72.0","67.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SOM","Somalia","IPV1","42.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ZAF","South Africa","IPV1","81.0","82.0","86.0","91.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SSD","South Sudan","IPV1","34.0","34.0","34.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","LKA","Sri Lanka","IPV1","99.0","99.0","99.0","47.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SDN","Sudan","IPV1","84.0","","64.0","69.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","SUR","Suriname","IPV1","93.0","88.0","96.0","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","SYR","Syrian Arab Republic","IPV1","59.0","67.0","58.0","59.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","TJK","Tajikistan","IPV1","51.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
