"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Eastern & Southern Africa","NAM","Namibia","MCV2","50.0","32.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NRU","Nauru","MCV2","94.0","94.0","97.0","96.0","94.0","88.0","81.0","99.0","99.0","92.0","99.0","99.0","97.0","50.0","60.0","72.0","83.0","95.0","","","","","","","","","","","","","","","","","","","","",""
"South Asia","NPL","Nepal","MCV2","69.0","59.0","25.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","NLD","Netherlands","MCV2","89.0","90.0","91.0","92.0","93.0","92.0","93.0","93.0","92.0","93.0","93.0","92.0","92.0","93.0","98.0","98.0","96.0","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NZL","New Zealand","MCV2","90.0","90.0","89.0","87.0","86.0","86.0","85.0","86.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","NIC","Nicaragua","MCV2","95.0","84.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","NER","Niger","MCV2","48.0","46.0","31.0","16.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","NGA","Nigeria","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NIU","Niue","MCV2","99.0","99.0","99.0","99.0","99.0","99.0","98.0","98.0","99.0","99.0","99.0","99.0","99.0","70.0","99.0","86.0","90.0","99.0","99.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","NOR","Norway","MCV2","93.0","91.0","91.0","91.0","92.0","91.0","91.0","94.0","97.0","96.0","95.0","93.0","91.0","91.0","90.0","89.0","90.0","90.0","90.0","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","OMN","Oman","MCV2","99.0","99.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","95.0","97.0","97.0","98.0","98.0","98.0","99.0","99.0","","","","","","","","","","","","","","","","","","","",""
"South Asia","PAK","Pakistan","MCV2","67.0","67.0","67.0","54.0","48.0","43.0","42.0","38.0","34.0","30.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PLW","Palau","MCV2","75.0","77.0","95.0","82.0","81.0","98.0","86.0","83.0","39.0","79.0","77.0","83.0","98.0","95.0","98.0","94.0","90.0","83.0","75.0","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PAN","Panama","MCV2","99.0","93.0","93.0","92.0","90.0","68.0","72.0","81.0","73.0","76.0","79.0","83.0","86.0","89.0","89.0","89.0","88.0","88.0","88.0","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PNG","Papua New Guinea","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PRY","Paraguay","MCV2","83.0","82.0","87.0","72.0","76.0","76.0","75.0","78.0","77.0","77.0","84.0","74.0","61.0","31.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PER","Peru","MCV2","66.0","66.0","66.0","63.0","44.0","54.0","63.0","70.0","56.0","42.0","17.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
